Plot Title: Riihiluoma 1,,,,
index,time,new_fridge,water_heater,old_fridge
151,02/10/2021 06:15:38 PM,1.074,0.073,0.659
152,02/10/2021 06:16:38 PM,1.074,0.073,0.659
153,02/10/2021 06:17:38 PM,1.074,0.073,0.684
154,02/10/2021 06:18:38 PM,1.074,0.073,0.659
155,02/10/2021 06:19:38 PM,1.074,0.073,0.684
156,02/10/2021 06:20:38 PM,0.977,0.098,0.684
157,02/10/2021 06:21:38 PM,1.050,0.073,0.684
158,02/10/2021 06:22:38 PM,1.074,0.073,0.684
159,02/10/2021 06:23:38 PM,1.050,0.073,0.684
160,02/10/2021 06:24:38 PM,1.050,0.073,0.684
161,02/10/2021 06:25:38 PM,1.050,0.073,0.659
162,02/10/2021 06:26:38 PM,1.050,0.098,0.684
163,02/10/2021 06:27:38 PM,1.074,0.098,0.684
164,02/10/2021 06:28:38 PM,1.050,0.073,0.659
165,02/10/2021 06:29:38 PM,1.050,0.073,0.684
166,02/10/2021 06:30:38 PM,1.050,0.073,0.659
167,02/10/2021 06:31:38 PM,1.050,0.073,0.659
168,02/10/2021 06:32:38 PM,1.050,0.098,0.659
169,02/10/2021 06:33:38 PM,1.050,0.073,0.684
170,02/10/2021 06:34:38 PM,1.074,0.073,0.684
171,02/10/2021 06:35:38 PM,1.074,0.073,0.684
172,02/10/2021 06:36:38 PM,1.050,0.073,0.684
173,02/10/2021 06:37:38 PM,1.074,0.073,0.659
174,02/10/2021 06:38:38 PM,1.074,0.073,0.659
175,02/10/2021 06:39:38 PM,1.123,0.073,0.659
176,02/10/2021 06:40:38 PM,1.172,0.073,0.659
177,02/10/2021 06:41:38 PM,1.416,17.973,0.708
178,02/10/2021 06:42:38 PM,1.197,18.022,0.733
179,02/10/2021 06:43:38 PM,1.197,18.022,0.733
180,02/10/2021 06:44:38 PM,1.197,17.998,0.733
181,02/10/2021 06:45:38 PM,1.294,17.998,0.733
182,02/10/2021 06:46:38 PM,1.123,17.900,0.708
183,02/10/2021 06:47:38 PM,2.027,17.900,0.733
184,02/10/2021 06:48:38 PM,2.027,17.900,0.733
185,02/10/2021 06:49:38 PM,1.197,17.900,0.733
186,02/10/2021 06:50:38 PM,1.221,17.973,0.733
187,02/10/2021 06:51:38 PM,1.148,17.924,0.708
188,02/10/2021 06:52:38 PM,1.245,17.924,0.733
189,02/10/2021 06:53:38 PM,1.245,17.900,0.757
190,02/10/2021 06:54:38 PM,1.148,17.900,0.733
191,02/10/2021 06:55:38 PM,1.245,17.924,0.757
192,02/10/2021 06:56:38 PM,1.319,17.924,0.733
193,02/10/2021 06:57:38 PM,1.172,17.949,0.733
194,02/10/2021 06:58:38 PM,1.245,17.949,0.733
195,02/10/2021 06:59:38 PM,1.221,18.046,0.733
196,02/10/2021 07:00:38 PM,1.270,18.022,0.733
197,02/10/2021 07:01:38 PM,1.245,18.046,0.733
198,02/10/2021 07:02:38 PM,2.027,17.998,0.733
199,02/10/2021 07:03:38 PM,1.270,18.022,0.733
200,02/10/2021 07:04:38 PM,3.614,18.071,0.733
201,02/10/2021 07:05:38 PM,3.614,18.071,0.733
202,02/10/2021 07:06:38 PM,1.172,18.046,0.733
203,02/10/2021 07:07:38 PM,1.172,18.046,0.733
204,02/10/2021 07:08:38 PM,1.123,0.073,0.073
205,02/10/2021 07:09:38 PM,1.123,0.073,0.073
206,02/10/2021 07:10:38 PM,1.123,0.073,0.098
207,02/10/2021 07:11:38 PM,1.343,0.073,0.098
208,02/10/2021 07:12:38 PM,1.343,0.073,0.073
209,02/10/2021 07:13:38 PM,1.319,0.073,0.073
210,02/10/2021 07:14:38 PM,1.343,0.049,0.073
211,02/10/2021 07:15:38 PM,1.319,0.073,0.098
212,02/10/2021 07:16:38 PM,1.319,0.049,0.073
213,02/10/2021 07:17:38 PM,1.319,0.049,0.098
214,02/10/2021 07:18:38 PM,1.343,0.073,0.073
215,02/10/2021 07:19:38 PM,1.319,0.073,0.073
216,02/10/2021 07:20:38 PM,1.319,0.049,0.073
217,02/10/2021 07:21:38 PM,1.319,0.073,0.073
218,02/10/2021 07:22:38 PM,1.319,0.073,0.073
219,02/10/2021 07:23:38 PM,1.319,0.049,0.073
220,02/10/2021 07:24:38 PM,1.319,0.073,0.073
221,02/10/2021 07:25:38 PM,1.319,0.073,0.073
222,02/10/2021 07:26:38 PM,1.319,0.073,0.073
223,02/10/2021 07:27:38 PM,1.319,0.073,0.073
224,02/10/2021 07:28:38 PM,1.319,0.073,0.073
225,02/10/2021 07:29:38 PM,1.319,0.073,0.073
226,02/10/2021 07:30:38 PM,1.319,0.073,0.073
227,02/10/2021 07:31:38 PM,1.319,0.073,0.073
228,02/10/2021 07:32:38 PM,1.319,0.073,0.073
229,02/10/2021 07:33:38 PM,1.319,0.073,0.073
230,02/10/2021 07:34:38 PM,1.319,0.073,0.073
231,02/10/2021 07:35:38 PM,1.319,0.073,0.073
232,02/10/2021 07:36:38 PM,1.319,0.073,0.073
233,02/10/2021 07:37:38 PM,1.319,0.073,0.098
234,02/10/2021 07:38:38 PM,1.319,0.073,0.073
235,02/10/2021 07:39:38 PM,1.319,0.073,0.073
236,02/10/2021 07:40:38 PM,1.319,0.049,0.073
237,02/10/2021 07:41:38 PM,1.319,0.073,0.098
238,02/10/2021 07:42:38 PM,1.294,0.073,0.073
239,02/10/2021 07:43:38 PM,1.319,0.073,0.098
240,02/10/2021 07:44:38 PM,1.294,0.073,0.098
241,02/10/2021 07:45:38 PM,1.294,0.073,0.098
242,02/10/2021 07:46:38 PM,1.319,0.073,0.073
243,02/10/2021 07:47:38 PM,1.294,0.073,0.073
244,02/10/2021 07:48:38 PM,1.319,0.073,0.073
245,02/10/2021 07:49:38 PM,1.294,0.073,0.073
246,02/10/2021 07:50:38 PM,1.319,0.073,0.073
247,02/10/2021 07:51:38 PM,1.294,0.049,0.073
